"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0
"E_quiet",0,0,0,0,0,0,0,0,0,0,0,0,0.1199,0,0,0,0,0.3199,0,0,0,0
"C_lazy",0,0.0416,0,0,0,0,0.1112,0,0,0,0,0.1236,0,0.0824,0,0,0,0,0,0,0,0
"N_relaxed",0.3696,0,0,0,0,0,0,0,0,0,0,0,0,0.2284,0.1123,0,0,0,0,0,0,0
"N_depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0.0359,0
"E_outgoing",0,0,0,0,0,0,0.395,0,0,0,0,0,0,0,0,0.1376,0,0,0,0,0,0
"A_kind",0,0,0,0,0,0,0.0774,0,0,0,0,0,0.0327,0.0315,0.018,0.0162,0.0223,0.0795,0,0.0732,0,0.0511
"C_reliable",0,0,0,0,0,0,0,0,0.0593,0,0,0,0,0,0,0,0,0.0709,0,0.0663,0,0
"N_worried",0.1796,0,0,0.052,0,0.0438,0,0,0,0,0,0.1886,0,0,0,0,0,0,0.1015,0,0,0
"self_esteem",0,0,0,0.0985,0,0,0,0.1671,0,0,0,0,0,0,0,0,0,0.3077,0,0,0.093,0
"negEmo",0,0,0,0.0515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1344
