"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,-0.1919,0.4775,0,0,0.0406,0,0,0,0,0,0,0,0,0.288,0
"E_quiet",0,0,0,0,-0.3745,0,0,0,0,0,0,0,-0.1085,0,-0.2906,0,0,0,0,0,0,-0.4587
"C_lazy",0,0,0,0.326,0,0,-0.3237,0.2081,0,0,0.1759,0,0,0.2012,0,0,0,-0.2761,0,0,0,0
"N_relaxed",0,0,0,0,0,0,0,0,0,0,-0.1927,0,0,0,0.1171,0,0,0,0,0,-0.3092,0
"N_depressed",0,0,0,0,0,0,0,0,0,0,0.4701,0,0,0,0,0,0,0,0,0.0616,0,0
"E_outgoing",0,0,0,0,0,0,0,0,0,0,0,-0.2115,0,0.2694,0.285,-0.0745,0,0.1808,0.2216,0,-0.2648,0
"A_kind",0.2059,0,0,-0.1914,0,0,0,0,0,-0.2057,0,0,0,0,0,0,-0.2594,0,0.31,0,-0.4864,0.226
"C_reliable",0,0,0,0,0,0,0,0.274,0,-0.6223,0,0,0,0,0,0,0,-0.0876,0,0,0,0
"N_worried",0,0,0,-0.3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1087,0,0,0
"self_esteem",0,0.5394,0,0,0,0,0.631,0,0,0,0.3469,0,0,0,0,0,0,-0.2936,0,0.2941,-0.0838,0
"negEmo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021
