"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0.5889,0,0,-0.1273,0,-0.2793,0.1833,0.1522,0.073,0,0,0,0,0,0,0,0,0.4607,-0.2051
"E_quiet",0,0,0,0,0,0,0,-0.5206,0,0,0,-0.6562,-0.331,0,0.3958,-0.7678,0.7207,0,0,-0.3003,0,0.2015
"C_lazy",0,-0.4337,0,0,-0.1647,0,0,0.1094,0,0.2745,0,-0.4786,0.7299,0.515,0,0.0961,0,-0.34,-0.399,-0.0318,0,0.1077
"N_relaxed",-0.0047,-0.7922,0.3593,0,0.2137,0,-0.2334,0,0,0,0,0,0,0.2225,-0.0355,-0.2211,0.5549,0,0,0,0,0
"N_depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2416,0,0,0,0,0.4532,0.1051,0,0
"E_outgoing",0,0.3081,0,0.2777,0,-0.2674,0.2085,0.6147,0,0,-0.2231,0,0.554,0,0,0.6896,-0.4317,0.3773,0.2282,0,0.2722,-0.1206
"A_kind",0,0,0,0,0,0,0,0,0,0.4656,0,0,0,0,0,0,-0.1921,0.2224,0,0,0.7037,0
"C_reliable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2385,0,0,0,0
"N_worried",0,0,0,-1.0243,0,0,-0.43,0,0,0,0,0.4923,0,0,-0.7354,0,0,0,-0.1925,0,0,0
"self_esteem",0,0,0,0,0,0,0,0,0.5266,0,0,0,0,0,0.2482,0,0.2907,0,0,-0.2278,-0.3515,0
"negEmo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148
