"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,-0.2366,0,0,0.2234,0,-0.0338,0,0,0,0,0,0,0,0,0.3082,0
"E_quiet",0,0,0,0,-0.3134,-0.427,0,0,0,0,0,0,-0.1635,0,0,0.2301,0,0,0,0,0,0
"C_lazy",0,0,0,0,0,0,0,-0.7673,0,0,0,0,0,-0.1724,0,0,0,0,0,0,0,0
"N_relaxed",0,0,0,0,0,0,0,0,0,-0.2774,0,0,0,0,0.1573,0,0,0,0,0,0,0
"N_depressed",0,0,0.366,0,0,0,0,0,0,0,0,0,0,0.4764,0,0,0,0,0,0.0805,0,0
"E_outgoing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0066,0,0,0,0,0,0
"A_kind",0,0,0,0,0,0,0,0,0,0,0,0.3214,-0.2444,0,0,0,-0.3199,0,0,0,0,0
"C_reliable",0,0,-0.2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1491,0,0,0,0
"N_worried",0,0,0.7752,0,0,0,0,0,0,0,0.5925,0,0,0,0,0,0,0,0.2599,0,0,0
"self_esteem",0,0,0,0,0,0,0,0,0.5064,0,0,0,0,0,0,0,0,0,0,0,0.094,0
"negEmo",0,0,0,0,0,0,0,0,0.2535,0,0,0,0,0,0,0,0,0,0,0,0,0.3967
