"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0,0,0,0,-0.0315,0,0,-0.2474,0,0,0,0,0,0,0
"E_quiet",0,0,0,0,0,0,0,0.2377,0,0,0,0,0.105,0,0,-0.2324,0,0,0,0,0,0
"C_lazy",0.3409,0,0,0,-0.3977,0,0.3394,0,0.8783,0,0,-0.3247,0,0.3367,0,0,0,0.357,0,0,0,0
"N_relaxed",0,0,0,0,0,0,0,-0.224,0,0,0,0,0,0,0.1511,0,0,0,0,0,0,0
"N_depressed",0,0,-0.4707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0701,0,0
"E_outgoing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2476,-0.1043,0,0,0,0,0,0
"A_kind",0.3843,-0.4406,0,0,0,0,0.3266,0,0,0,0,0,0,0,0.2536,0,0.0921,0,0.3842,0,0,0
"C_reliable",0,0,-0.5386,0,0,0,0,0,0,0,-0.2109,0,0,0,0,0,0,0.2116,0,0,0,0
"N_worried",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1976,0,0,0.2441
"self_esteem",0,0,0,0,0,0,0,0.176,0,0,0,0,0,0.2446,0,0,0,0,0.2134,0,-0.0021,-0.4297
"negEmo",-0.2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1865,0,0,0,0,0,0,-0.0442
