"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0,0.0579,0,0,0.1262,0,0,0,0,0.0678,0,0,0,0,0.1097
"E_quiet",0,0,0,0,0,0.1254,0,0,0,0.1569,0,0,0.1224,0.2446,0,0.1366,0,0,0,0,0,0
"C_lazy",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1431,0,0,0,0.1793,0,0,0,0.1207
"N_relaxed",0,0,0,0,0,0.1508,0,0,0,0,0,0,0,0,0.1741,0,0,0,0,0,0,0
"N_depressed",0,0,0.1762,0,0,0,0,0,0,0.1511,0,0,0,0,0,0,0.1322,0,0,0.1051,0,0.2157
"E_outgoing",0,0.1282,0,0,0,0.1055,0,0,0,0,0,0,0,0,0,0.1289,0,0,0,0,0.1358,0
"A_kind",0,0,0,0.5928,0,0,0,0.537,0,0,0,0.3288,0,0,0.3813,0,0.22,0,0,0,0,0
"C_reliable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1385,0,0,0,0
"N_worried",0,0,0.0858,0,0,0.0826,0,0,0,0,0,0,0,0,0,0,0,0,0.1083,0,0,0.1096
"self_esteem",0.0514,0.0896,0.0239,0,0.0263,0,0,0.0448,0.0284,0,0,0,0,0.094,0.0512,0,0.0529,0,0.0772,0,0.0361,0
"negEmo",0,0,0,0,0,0,0,0.1569,0,0,0,0,0,0,0.1365,0,0,0,0,0,0,0.1505
